"month_id","case_id","count","departamento_std","violence_type","month_start"
"2023-08",NA,58,"cauca","homicide",2023-08-01
"2023-08",NA,5,"guaviare","homicide",2023-08-01
"2023-08",NA,17,"meta","homicide",2023-08-01
"2023-08",NA,21,"santander","homicide",2023-08-01
"2023-08",NA,16,"sucre","homicide",2023-08-01
"2023-08",NA,144,"valle del cauca","homicide",2023-08-01
"2023-08",NA,7,"casanare","homicide",2023-08-01
"2023-08",NA,24,"cordoba","homicide",2023-08-01
"2023-08",NA,30,"huila","homicide",2023-08-01
"2023-08",NA,48,"magdalena","homicide",2023-08-01
"2023-08",NA,39,"nariño","homicide",2023-08-01
"2023-08",NA,37,"norte de santander","homicide",2023-08-01
"2023-08",NA,37,"putumayo","homicide",2023-08-01
"2023-08",NA,39,"bogota d.c.","homicide",2023-08-01
"2023-08",NA,17,"choco","homicide",2023-08-01
"2023-08",NA,26,"cundinamarca","homicide",2023-08-01
"2023-08",NA,12,"la guajira","homicide",2023-08-01
"2023-08","buenaventura",4,"valle del cauca","homicide",2023-08-01
"2023-08",NA,36,"cesar","homicide",2023-08-01
"2023-08",NA,8,"quindio","homicide",2023-08-01
"2023-08",NA,2,"vichada","homicide",2023-08-01
"2023-08",NA,2,"amazonas","homicide",2023-08-01
"2023-08",NA,11,"caqueta","homicide",2023-08-01
"2023-08",NA,17,"tolima","homicide",2023-08-01
"2023-08","arauca",8,"arauca","homicide",2023-08-01
"2023-08",NA,13,"risaralda","homicide",2023-08-01
"2023-08",NA,4,"san andres islas","homicide",2023-08-01
"2023-08","tumaco",5,"nariño","homicide",2023-08-01
"2023-08",NA,1,"boyaca","homicide",2023-08-01
"2023-09",NA,110,"antioquia","homicide",2023-09-01
"2023-09","arauca",19,"arauca","homicide",2023-09-01
"2023-09",NA,47,"atlantico","homicide",2023-09-01
"2023-09",NA,56,"bogota d.c.","homicide",2023-09-01
"2023-09",NA,39,"bolivar","homicide",2023-09-01
"2023-09",NA,7,"caldas","homicide",2023-09-01
"2023-09",NA,32,"cesar","homicide",2023-09-01
"2023-09",NA,31,"cordoba","homicide",2023-09-01
"2023-09",NA,43,"magdalena","homicide",2023-09-01
"2023-09",NA,24,"meta","homicide",2023-09-01
"2023-09",NA,49,"norte de santander","homicide",2023-09-01
"2023-09",NA,12,"santander","homicide",2023-09-01
"2023-09",NA,23,"sucre","homicide",2023-09-01
"2023-09",NA,133,"valle del cauca","homicide",2023-09-01
"2023-09",NA,10,"caqueta","homicide",2023-09-01
"2023-09",NA,59,"cauca","homicide",2023-09-01
"2023-09",NA,19,"cundinamarca","homicide",2023-09-01
"2023-09",NA,28,"huila","homicide",2023-09-01
"2023-09",NA,16,"la guajira","homicide",2023-09-01
"2023-09",NA,23,"putumayo","homicide",2023-09-01
"2023-09",NA,20,"tolima","homicide",2023-09-01
"2023-09",NA,27,"nariño","homicide",2023-09-01
"2023-09",NA,5,"quindio","homicide",2023-09-01
"2023-09",NA,11,"risaralda","homicide",2023-09-01
"2023-09",NA,3,"san andres islas","homicide",2023-09-01
"2023-09","buenaventura",4,"valle del cauca","homicide",2023-09-01
"2023-09","tumaco",1,"nariño","homicide",2023-09-01
"2023-09",NA,2,"casanare","homicide",2023-09-01
"2023-09",NA,3,"guaviare","homicide",2023-09-01
"2023-09",NA,1,"amazonas","homicide",2023-09-01
"2023-09",NA,6,"choco","homicide",2023-09-01
"2023-09",NA,3,"boyaca","homicide",2023-09-01
"2023-10",NA,100,"antioquia","homicide",2023-10-01
"2023-10",NA,41,"atlantico","homicide",2023-10-01
"2023-10",NA,54,"bogota d.c.","homicide",2023-10-01
"2023-10",NA,40,"bolivar","homicide",2023-10-01
"2023-10",NA,2,"casanare","homicide",2023-10-01
"2023-10",NA,67,"cauca","homicide",2023-10-01
"2023-10",NA,13,"cesar","homicide",2023-10-01
"2023-10",NA,14,"cordoba","homicide",2023-10-01
"2023-10",NA,32,"huila","homicide",2023-10-01
"2023-10",NA,14,"la guajira","homicide",2023-10-01
"2023-10",NA,41,"magdalena","homicide",2023-10-01
"2023-10",NA,14,"meta","homicide",2023-10-01
"2023-10",NA,38,"norte de santander","homicide",2023-10-01
"2023-10",NA,5,"quindio","homicide",2023-10-01
"2023-10",NA,15,"santander","homicide",2023-10-01
"2023-10",NA,21,"sucre","homicide",2023-10-01
"2023-10",NA,118,"valle del cauca","homicide",2023-10-01
"2023-10",NA,18,"cundinamarca","homicide",2023-10-01
"2023-10",NA,25,"nariño","homicide",2023-10-01
"2023-10",NA,25,"putumayo","homicide",2023-10-01
"2023-10",NA,21,"tolima","homicide",2023-10-01
"2023-10","buenaventura",9,"valle del cauca","homicide",2023-10-01
"2023-10",NA,17,"choco","homicide",2023-10-01
"2023-10","arauca",7,"arauca","homicide",2023-10-01
"2023-10",NA,2,"caldas","homicide",2023-10-01
"2023-10",NA,10,"caqueta","homicide",2023-10-01
"2023-10",NA,15,"risaralda","homicide",2023-10-01
"2023-10",NA,1,"guaviare","homicide",2023-10-01
"2023-10",NA,8,"san andres islas","homicide",2023-10-01
"2023-10","tumaco",2,"nariño","homicide",2023-10-01
"2023-10",NA,2,"boyaca","homicide",2023-10-01
"2023-10",NA,1,"amazonas","homicide",2023-10-01
"2023-11",NA,137,"antioquia","homicide",2023-11-01
"2023-11",NA,47,"atlantico","homicide",2023-11-01
"2023-11",NA,48,"magdalena","homicide",2023-11-01
"2023-11",NA,27,"nariño","homicide",2023-11-01
"2023-11",NA,40,"norte de santander","homicide",2023-11-01
"2023-11",NA,8,"quindio","homicide",2023-11-01
"2023-11",NA,153,"valle del cauca","homicide",2023-11-01
"2023-11",NA,51,"bogota d.c.","homicide",2023-11-01
"2023-11",NA,49,"bolivar","homicide",2023-11-01
"2023-11",NA,7,"casanare","homicide",2023-11-01
"2023-11",NA,14,"choco","homicide",2023-11-01
"2023-11",NA,19,"cundinamarca","homicide",2023-11-01
"2023-11",NA,9,"meta","homicide",2023-11-01
"2023-11",NA,15,"sucre","homicide",2023-11-01
"2023-11",NA,17,"tolima","homicide",2023-11-01
"2023-11",NA,4,"caldas","homicide",2023-11-01
"2023-11",NA,64,"cauca","homicide",2023-11-01
"2023-11",NA,20,"cesar","homicide",2023-11-01
"2023-11",NA,25,"huila","homicide",2023-11-01
"2023-11",NA,16,"putumayo","homicide",2023-11-01
"2023-11","buenaventura",18,"valle del cauca","homicide",2023-11-01
"2023-11",NA,7,"la guajira","homicide",2023-11-01
"2023-11","arauca",10,"arauca","homicide",2023-11-01
"2023-11",NA,3,"boyaca","homicide",2023-11-01
"2023-11",NA,20,"cordoba","homicide",2023-11-01
"2023-11",NA,22,"santander","homicide",2023-11-01
"2023-11",NA,2,"san andres islas","homicide",2023-11-01
"2023-11",NA,6,"risaralda","homicide",2023-11-01
"2023-11",NA,4,"caqueta","homicide",2023-11-01
"2023-11",NA,3,"amazonas","homicide",2023-11-01
"2023-11",NA,2,"guaviare","homicide",2023-11-01
"2023-11","tumaco",1,"nariño","homicide",2023-11-01
"2023-12",NA,131,"antioquia","homicide",2023-12-01
"2023-12","arauca",15,"arauca","homicide",2023-12-01
"2023-12",NA,45,"atlantico","homicide",2023-12-01
"2023-12",NA,57,"bogota d.c.","homicide",2023-12-01
"2023-12",NA,37,"bolivar","homicide",2023-12-01
"2023-12",NA,65,"cauca","homicide",2023-12-01
"2023-12",NA,37,"cesar","homicide",2023-12-01
"2023-12",NA,30,"cundinamarca","homicide",2023-12-01
"2023-12",NA,24,"meta","homicide",2023-12-01
"2023-12",NA,34,"nariño","homicide",2023-12-01
"2023-12",NA,39,"norte de santander","homicide",2023-12-01
"2023-12",NA,19,"putumayo","homicide",2023-12-01
"2023-12",NA,1,"san andres islas","homicide",2023-12-01
"2023-12",NA,14,"santander","homicide",2023-12-01
"2023-12",NA,155,"valle del cauca","homicide",2023-12-01
"2023-12",NA,14,"caqueta","homicide",2023-12-01
"2023-12",NA,25,"choco","homicide",2023-12-01
"2023-12",NA,15,"la guajira","homicide",2023-12-01
"2023-12",NA,27,"sucre","homicide",2023-12-01
"2023-12",NA,18,"tolima","homicide",2023-12-01
"2023-12",NA,39,"magdalena","homicide",2023-12-01
"2023-12",NA,11,"quindio","homicide",2023-12-01
"2023-12",NA,16,"risaralda","homicide",2023-12-01
"2023-12","buenaventura",13,"valle del cauca","homicide",2023-12-01
"2023-12",NA,17,"huila","homicide",2023-12-01
"2023-12",NA,15,"caldas","homicide",2023-12-01
"2023-12",NA,11,"cordoba","homicide",2023-12-01
"2023-12",NA,1,"casanare","homicide",2023-12-01
"2023-12",NA,2,"boyaca","homicide",2023-12-01
"2023-12",NA,2,"vichada","homicide",2023-12-01
"2023-12","tumaco",2,"nariño","homicide",2023-12-01
"2024-01",NA,112,"antioquia","homicide",2024-01-01
"2024-01",NA,61,"cauca","homicide",2024-01-01
"2024-01",NA,13,"quindio","homicide",2024-01-01
"2024-01",NA,60,"atlantico","homicide",2024-01-01
"2024-01",NA,45,"bogota d.c.","homicide",2024-01-01
"2024-01","buenaventura",6,"valle del cauca","homicide",2024-01-01
"2024-01",NA,155,"valle del cauca","homicide",2024-01-01
"2024-01",NA,29,"huila","homicide",2024-01-01
"2024-01",NA,52,"bolivar","homicide",2024-01-01
"2024-01",NA,19,"tolima","homicide",2024-01-01
"2024-01",NA,18,"choco","homicide",2024-01-01
"2024-01",NA,21,"nariño","homicide",2024-01-01
"2024-01",NA,9,"caqueta","homicide",2024-01-01
"2024-01","arauca",7,"arauca","homicide",2024-01-01
"2024-01",NA,16,"meta","homicide",2024-01-01
"2024-01",NA,13,"santander","homicide",2024-01-01
"2024-01",NA,26,"norte de santander","homicide",2024-01-01
"2024-01",NA,22,"putumayo","homicide",2024-01-01
"2024-01",NA,25,"cordoba","homicide",2024-01-01
"2024-01",NA,14,"risaralda","homicide",2024-01-01
"2024-01",NA,29,"magdalena","homicide",2024-01-01
"2024-01",NA,17,"cundinamarca","homicide",2024-01-01
"2024-01",NA,18,"la guajira","homicide",2024-01-01
"2024-01",NA,18,"sucre","homicide",2024-01-01
"2024-01",NA,20,"cesar","homicide",2024-01-01
"2024-01",NA,3,"boyaca","homicide",2024-01-01
"2024-01","tumaco",1,"nariño","homicide",2024-01-01
"2024-01",NA,4,"casanare","homicide",2024-01-01
"2024-01",NA,3,"caldas","homicide",2024-01-01
"2024-01",NA,5,"san andres islas","homicide",2024-01-01
"2024-02",NA,19,"huila","homicide",2024-02-01
"2024-02",NA,85,"antioquia","homicide",2024-02-01
"2024-02",NA,52,"atlantico","homicide",2024-02-01
"2024-02",NA,49,"bogota d.c.","homicide",2024-02-01
"2024-02",NA,55,"cauca","homicide",2024-02-01
"2024-02",NA,119,"valle del cauca","homicide",2024-02-01
"2024-02",NA,48,"bolivar","homicide",2024-02-01
"2024-02",NA,24,"norte de santander","homicide",2024-02-01
"2024-02",NA,27,"tolima","homicide",2024-02-01
"2024-02",NA,19,"nariño","homicide",2024-02-01
"2024-02",NA,27,"cordoba","homicide",2024-02-01
"2024-02",NA,12,"sucre","homicide",2024-02-01
"2024-02",NA,15,"cundinamarca","homicide",2024-02-01
"2024-02",NA,10,"quindio","homicide",2024-02-01
"2024-02","buenaventura",3,"valle del cauca","homicide",2024-02-01
"2024-02",NA,15,"risaralda","homicide",2024-02-01
"2024-02",NA,11,"la guajira","homicide",2024-02-01
"2024-02",NA,44,"magdalena","homicide",2024-02-01
"2024-02",NA,5,"boyaca","homicide",2024-02-01
"2024-02",NA,20,"choco","homicide",2024-02-01
"2024-02",NA,23,"cesar","homicide",2024-02-01
"2024-02",NA,6,"casanare","homicide",2024-02-01
"2024-02",NA,11,"putumayo","homicide",2024-02-01
"2024-02","arauca",2,"arauca","homicide",2024-02-01
"2024-02",NA,4,"caldas","homicide",2024-02-01
"2024-02",NA,15,"santander","homicide",2024-02-01
"2024-02",NA,10,"meta","homicide",2024-02-01
"2024-02",NA,4,"caqueta","homicide",2024-02-01
"2024-02","tumaco",1,"nariño","homicide",2024-02-01
"2024-02",NA,1,"guaviare","homicide",2024-02-01
"2024-02",NA,1,"vichada","homicide",2024-02-01
"2024-02",NA,1,"amazonas","homicide",2024-02-01
